stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Mahyar Mohamammadyar\documents\visual studio 2015\Projects\Meet in the middle game board\Debug\allegro5.cfg r
display  D   display_settings.c:214  debug_display_settings           [   0.40795] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.40811] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.40824] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.40839] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.40852] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.40869] Score is : 793
display  D   display_settings.c:214  debug_display_settings           [   0.40883] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.40899] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.40912] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.40927] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.40940] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.40955] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.40968] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.40984] Score is : 793
display  D   display_settings.c:214  debug_display_settings           [   0.40997] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.41012] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.41025] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.41041] Score is : 641
display  D   display_settings.c:214  debug_display_settings           [   0.41054] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.41070] Score is : 785
display  D   display_settings.c:214  debug_display_settings           [   0.41083] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.41099] Score is : 793
display  D   display_settings.c:214  debug_display_settings           [   0.41112] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.41128] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41141] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.41156] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41170] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.41186] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41200] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.41215] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41229] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.41243] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41257] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.41272] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41286] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.41301] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41315] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.41331] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41345] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.41360] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41374] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.41390] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41403] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.41419] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41432] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.41447] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41460] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.41476] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41489] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.41504] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41518] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.41533] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41548] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.41564] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41577] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.41593] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41606] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.41621] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41635] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.41650] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41663] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.41679] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41692] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.41707] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41721] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.41736] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41749] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.41776] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41792] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.41808] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41821] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.41836] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41850] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.41865] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41879] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.41895] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41909] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:400  _al_score_display_settings       [   0.41924] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41938] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.41953] Single Buffer requirement not met.
display  D   display_settings.c:214  debug_display_settings           [   0.41966] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:400  _al_score_display_settings       [   0.41986] Single Buffer requirement not met.
